date,open,high,low,close,vwap,vol
1742140800,1.0000,1.0001,0.9998,0.9999,0.9999,8089824.76180154
1742155200,0.9999,1.0001,0.9999,0.9999,0.9999,642609.54937061
1742169600,1.0000,1.0001,0.9999,1.0000,0.9999,7860193.58045021
1742184000,1.0000,1.0001,0.9999,1.0001,1.0000,9165148.70724386
1742198400,1.0001,1.0001,0.9999,1.0000,1.0000,4124015.99499599
1742212800,1.0000,1.0001,0.9999,1.0000,1.0000,10143868.89153547
1742227200,0.9999,1.0001,0.9999,1.0000,1.0000,6968306.52848683
1742241600,1.0000,1.0000,0.9999,1.0000,0.9999,3630916.61139804
1742256000,1.0000,1.0001,0.9999,1.0000,0.9999,2636244.52009068
1742270400,1.0001,1.0001,0.9999,1.0000,0.9999,5133303.24601621
1742284800,1.0000,1.0000,0.9998,1.0000,0.9999,3815318.78170122
1742299200,0.9999,1.0001,0.9999,1.0001,1.0000,2547788.81653141
1742313600,1.0001,1.0002,0.9999,1.0001,1.0000,4801446.28443792
1742328000,1.0002,1.0002,1.0000,1.0000,1.0001,565320.61795613
1742342400,1.0001,1.0001,0.9999,1.0000,0.9999,2873436.59182406
1742356800,1.0000,1.0001,0.9998,0.9999,0.9999,4596115.90802071
1742371200,0.9999,1.0001,0.9998,1.0000,0.9999,8685033.15841828
1742385600,1.0000,1.0000,0.9998,0.9998,0.9998,6408662.81207345
1742400000,0.9998,1.0001,0.9997,0.9997,0.9998,4375789.50581532
1742414400,0.9997,0.9998,0.9996,0.9997,0.9997,4930082.62684982
1742428800,0.9997,0.9998,0.9996,0.9998,0.9997,5114751.13846172
